0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:08 +0800] "GET /smartbi/vision/index.jsp HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /tomcat.css HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:07:10 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /tomcat.css HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:08:56 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:10:34 +0800] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:10:34 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:10:40 +0800] "GET /host-manager/html HTTP/1.1" 401 2044
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:10:46 +0800] "GET /host-manager/html HTTP/1.1" 401 2044
0:0:0:0:0:0:0:1 - tomcat [26/Jan/2019:13:10:50 +0800] "GET /host-manager/html HTTP/1.1" 403 3022
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:10:55 +0800] "GET /manager/html HTTP/1.1" 401 2473
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:11:06 +0800] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:11:06 +0800] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - tomcat [26/Jan/2019:13:11:11 +0800] "GET /manager/html HTTP/1.1" 200 19676
0:0:0:0:0:0:0:1 - tomcat [26/Jan/2019:13:11:27 +0800] "GET /manager/status HTTP/1.1" 200 6991
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:20:14 +0800] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:20:14 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/Jan/2019:13:20:19 +0800] "GET /manager/html HTTP/1.1" 401 2473
0:0:0:0:0:0:0:1 - admin [26/Jan/2019:13:20:28 +0800] "GET /manager/html HTTP/1.1" 200 18312
0:0:0:0:0:0:0:1 - admin [26/Jan/2019:18:04:54 +0800] "GET /manager/html HTTP/1.1" 200 18312
0:0:0:0:0:0:0:1 - - [26/Jan/2019:18:04:54 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
